player_id,player_name,country_code,birth_date,age,profile_total_earnings,profile_9_darters,profile_season_win_pct,profile_tour_card_years,profile_fdi_rating,profile_highest_average,profile_order_of_merit,profile_highest_tv_average,last_12_months_averages,last_12_months_180_s,last_12_months_checkout_pcnt,last_12_months_pcnt_legs_won,last_12_months_highest_checkout,last_12_months_first_9_averages,last_12_months_first_3_averages,last_12_months_with_throw_averages,last_12_months_against_throw_averages,last_12_months_pcnt_legs_won_throwing_first,last_12_months_pcnt_legs_won_throwing_second,last_12_months_171_180_s,last_12_months_140_s,last_12_months_131_140_s,last_12_months_functional_doubles_pcnt,api_rank,api_overall_stat,api_sum_field1,api_sum_field2
177,René Eidams,GER,08/05/1989,36,43325.0,N/A,38.0,N/A,1512.0,102.88,218.0,90.48,79.89,8.0,27.33,48.96,119.0,88.17,85.88,77.59,82.23,56.52,42.0,9.0,40.0,66.0,33.33,589,79.89,44471,1670
28457,Tim Scholz,GER,,,1513.0,N/A,44.0,N/A,1452.0,95.43,N/A,0.0,79.88,47.0,32.26,46.8,161.0,86.18,85.97,78.96,80.86,58.73,35.36,52.0,241.0,276.0,37.44,590,79.88,236455,8880
10066,Graham Jenkins,ENG,,,65.0,N/A,53.0,N/A,1465.0,98.68,N/A,0.0,79.87,34.0,33.99,50.59,144.0,88.63,86.81,78.8,81.07,60.0,41.18,35.0,85.0,115.0,39.81,591,79.87,77287,2903
2396,Stu Wilson,ENG,,,9545.0,N/A,39.0,N/A,1456.0,101.04,N/A,0.0,79.87,29.0,29.33,44.85,156.0,86.16,86.75,78.16,81.78,56.42,33.33,35.0,185.0,220.0,34.33,592,79.87,163941,6158
2159,Darren Johnson,ENG,18/09/1966,59,125707.0,1.0,59.0,14.0,1444.0,107.78,N/A,83.61,79.86,22.0,30.53,53.17,136.0,86.74,84.82,79.37,80.37,65.35,41.35,22.0,91.0,129.0,36.09,593,79.86,97270,3654
2546,Daan Bastiaansen,NED,,,6400.0,N/A,63.0,N/A,1472.0,97.1,N/A,0.0,79.85,55.0,33.19,57.63,170.0,87.07,89.47,79.92,79.78,67.16,48.33,65.0,171.0,266.0,40.82,594,79.85,194042,7290
35217,Moritz Hilger,GER,,,2500.0,N/A,57.0,N/A,1543.0,98.1,232.0,0.0,79.84,28.0,35.05,55.97,160.0,85.98,82.91,77.99,81.85,63.33,48.78,35.0,116.0,152.0,41.98,595,79.84,112329,4221
24121,Kaidon Newberry,USA,,,1027.0,N/A,63.0,N/A,1515.0,87.96,N/A,0.0,79.79,25.0,32.06,54.92,130.0,88.12,86.99,79.22,80.41,64.46,45.53,28.0,98.0,143.0,39.07,596,79.79,112934,4246
49085,Mat Caste,ENG,,,0.0,N/A,39.0,N/A,1487.0,89.9,N/A,0.0,79.77,19.0,30.64,46.09,153.0,85.81,84.72,80.15,79.39,60.71,32.2,22.0,46.0,66.0,35.57,597,79.77,52013,1956
49103,Terry Tan Jun Hao,,,,0.0,N/A,80.0,N/A,N/A,84.51,N/A,0.0,79.77,10.0,35.57,63.86,160.0,88.17,93.4,76.88,82.85,63.41,64.29,10.0,33.0,50.0,46.9,598,79.77,39433,1483
2343,Pál Székely,HUN,,,5950.0,N/A,50.0,N/A,1517.0,97.54,N/A,0.0,79.76,15.0,27.69,53.37,160.0,89.5,87.89,78.63,80.99,63.54,43.3,19.0,76.0,127.0,33.88,599,79.76,90927,3420
2123,Jerry Hendriks,NED,25/10/1988,37,42300.0,N/A,60.0,12.0,1504.0,95.43,289.0,93.68,79.75,7.0,29.53,52.38,154.0,85.08,83.56,80.32,79.12,67.44,36.59,8.0,47.0,55.0,32.58,600,79.75,38814,1460
35671,Albert Anstey,,,,1528.0,N/A,61.0,N/A,N/A,92.55,N/A,0.0,79.75,8.0,28.02,52.0,121.0,87.6,82.38,77.4,82.16,54.1,50.0,8.0,56.0,74.0,34.57,601,79.75,58512,2201
46137,Jordan-Lee Rawlings,,,,0.0,N/A,50.0,N/A,N/A,91.46,N/A,0.0,79.74,13.0,33.33,55.06,170.0,88.12,87.27,78.58,81.0,58.7,51.16,14.0,35.0,51.0,42.61,602,79.74,41463,1560
7718,Sean Fisher,WAL,25/10/1989,,5820.0,N/A,42.0,N/A,1487.0,100.69,N/A,92.68,79.74,41.0,33.63,47.65,156.0,86.24,89.48,79.19,80.35,60.25,34.81,46.0,117.0,186.0,40.21,603,79.74,144588,5440
48345,Ryan Vander Weit,USA,,,2500.0,N/A,40.0,N/A,1484.0,84.66,N/A,0.0,79.73,7.0,34.95,46.75,102.0,84.53,79.13,77.81,81.79,57.89,35.9,10.0,34.0,47.0,42.35,604,79.73,34789,1309
16949,Jarno Bottenberg,NED,,,11525.0,N/A,62.0,N/A,1531.0,106.71,215.0,0.0,79.72,183.0,32.46,54.4,167.0,88.28,88.67,79.57,79.88,64.49,44.12,188.0,372.0,539.0,38.88,605,79.72,423147,15924
2169,Robbie King,AUS,29/10/1993,32,10000.0,N/A,73.0,N/A,1559.0,111.33,N/A,80.5,79.71,55.0,32.63,59.73,148.0,88.04,89.32,79.69,79.73,70.11,49.17,60.0,157.0,228.0,39.17,606,79.71,172778,6503
11738,Patrick Dekker,NED,,,750.0,N/A,48.0,N/A,1469.0,95.5,N/A,0.0,79.7,47.0,31.17,48.56,164.0,85.66,85.28,79.14,80.29,58.13,39.13,63.0,296.0,430.0,37.71,607,79.70,336966,12684
20404,Paavo Myller,FIN,,,8144.0,N/A,64.0,N/A,1571.0,94.53,N/A,78.91,79.69,18.0,31.8,58.97,146.0,88.58,85.39,79.51,79.88,66.1,51.72,20.0,55.0,74.0,38.55,608,79.69,55543,2091
50327,Alexander-Veigar Thorvaldsson,,,,0.0,N/A,42.0,N/A,N/A,92.64,N/A,0.0,79.67,5.0,33.05,48.75,156.0,85.99,88.39,82.09,77.32,60.0,37.5,5.0,44.0,51.0,38.61,609,79.67,37154,1399
17506,Deian Roberts,WAL,,,875.0,N/A,45.0,N/A,1423.0,93.22,N/A,0.0,79.67,39.0,34.27,46.2,170.0,86.51,86.9,78.0,81.47,57.42,35.4,41.0,121.0,204.0,41.55,610,79.67,144250,5432
5388,David Airey,ENG,,,2050.0,N/A,40.0,N/A,1523.0,92.69,N/A,0.0,79.65,25.0,29.33,45.83,111.0,87.65,87.4,77.81,81.75,52.05,39.44,27.0,71.0,93.0,34.02,611,79.65,65685,2474
5256,Bill Aitken,AUS,,,495.0,N/A,64.0,N/A,1500.0,107.29,N/A,0.0,79.64,47.0,30.74,58.12,153.0,87.99,86.38,79.57,79.72,71.86,44.1,56.0,183.0,239.0,37.06,612,79.64,184182,6938
7907,Karl Schaefer,AUS,,,51.0,N/A,62.0,N/A,1481.0,109.98,N/A,0.0,79.63,15.0,31.02,58.29,150.0,87.86,87.44,79.84,79.41,70.59,45.36,17.0,112.0,139.0,35.58,613,79.63,94579,3563
5487,Aaron Simpson,AUS,,,0.0,N/A,67.0,N/A,1409.0,88.51,N/A,0.0,79.62,6.0,31.21,54.32,153.0,86.57,83.79,79.63,79.61,68.29,40.0,8.0,37.0,40.0,38.26,614,79.62,37713,1421
17094,Yoshihisa Baba,JPN,,,9274.0,N/A,59.0,N/A,1502.0,105.47,N/A,82.36,79.6,92.0,31.11,55.44,170.0,87.65,86.15,79.09,80.14,67.46,43.71,98.0,278.0,377.0,37.7,615,79.60,279820,10546
23327,Roy Rietbergen,NED,,,3650.0,N/A,56.0,N/A,1476.0,100.52,N/A,0.0,79.6,50.0,31.74,53.23,170.0,88.46,91.2,79.25,79.95,62.73,43.9,55.0,129.0,192.0,37.77,616,79.60,152453,5746
24609,Marvin Kraft,GER,,,3900.0,N/A,59.0,N/A,1536.0,100.2,N/A,0.0,79.57,13.0,34.23,55.74,146.0,85.38,83.27,75.99,84.01,62.77,48.31,16.0,64.0,104.0,40.16,617,79.57,85834,3236
7564,Jiri Brejcha,CZE,,,0.0,N/A,56.0,N/A,1491.0,98.84,N/A,0.0,79.57,10.0,31.45,53.42,154.0,86.93,88.97,80.85,78.3,72.22,35.14,11.0,43.0,49.0,36.45,618,79.57,33950,1280
47625,Akimune Matsuyoshi,JPN,,,689.0,N/A,68.0,N/A,1403.0,98.1,N/A,0.0,79.53,35.0,29.29,58.0,160.0,90.16,92.16,78.56,80.64,71.29,44.44,36.0,100.0,135.0,34.42,619,79.53,94245,3555
19761,Nico Bado,GIB,,,125.0,N/A,65.0,N/A,1391.0,95.43,N/A,0.0,79.52,51.0,29.18,57.54,155.0,88.74,88.77,78.89,80.22,66.83,47.92,57.0,141.0,246.0,34.09,620,79.52,184548,6962
14483,Peter Machin,AUS,,,8889.0,N/A,56.0,N/A,1545.0,100.2,N/A,85.82,79.48,10.0,36.89,58.44,137.0,84.13,83.65,80.21,78.71,69.23,47.37,12.0,37.0,50.0,45.45,621,79.48,35609,1344
17026,Moritz Bohrmann,GER,,,1725.0,N/A,55.0,N/A,1477.0,95.42,264.0,0.0,79.47,56.0,30.41,53.5,158.0,87.15,88.82,78.98,80.01,61.89,45.04,57.0,210.0,269.0,35.76,622,79.47,228747,8635
5187,Vitezslav Sedlak,CZE,,,15761.0,N/A,52.0,N/A,1470.0,106.46,262.0,0.0,79.44,79.0,29.16,51.42,160.0,87.87,85.78,77.54,81.59,60.7,42.11,87.0,191.0,278.0,34.56,623,79.44,212356,8019
7682,Dustin Straver,NED,,,1100.0,N/A,43.0,N/A,1474.0,99.3,N/A,0.0,79.43,80.0,30.51,47.46,160.0,85.22,84.02,78.23,80.76,56.85,38.07,81.0,182.0,221.0,36.96,624,79.43,180308,6810
5813,Danny Blom,NED,,,0.0,N/A,56.0,N/A,1528.0,92.01,N/A,0.0,79.42,11.0,25.4,50.79,136.0,87.04,89.75,77.36,81.79,68.75,32.26,12.0,40.0,41.0,29.36,625,79.42,29676,1121
16666,Jake Womack,USA,,,1500.0,N/A,31.0,N/A,1588.0,97.67,N/A,0.0,79.4,6.0,26.12,44.3,99.0,88.64,94.39,77.13,81.95,48.72,40.0,8.0,43.0,61.0,29.91,626,79.40,36286,1371
50026,Mark Stafford,,,,0.0,N/A,65.0,N/A,N/A,86.74,N/A,0.0,79.39,16.0,33.71,58.44,161.0,84.04,83.97,77.0,82.11,64.1,52.63,17.0,69.0,86.0,42.65,627,79.39,72297,2732
4112,James Bailey,AUS,,,19175.0,N/A,62.0,N/A,1505.0,108.91,N/A,89.79,79.36,119.0,32.43,55.26,167.0,86.33,85.64,78.59,80.21,66.67,43.65,129.0,430.0,570.0,38.97,628,79.36,474835,17951
15005,Alex Fehlmann,SUI,,,13272.0,N/A,78.0,N/A,1457.0,100.2,N/A,89.56,79.34,9.0,29.02,62.41,156.0,87.61,83.96,79.77,78.86,80.33,52.54,16.0,34.0,81.0,34.58,629,79.34,60641,2293
26336,Nigel Prior,ENG,,,0.0,N/A,48.0,N/A,1496.0,90.94,N/A,0.0,79.33,24.0,33.46,50.29,161.0,86.43,86.39,77.61,81.32,56.98,43.53,24.0,80.0,96.0,42.36,630,79.33,78349,2963
6200,Cole Davey,WAL,,,2075.0,N/A,64.0,N/A,1498.0,99.65,N/A,0.0,79.32,55.0,34.88,59.25,132.0,86.84,83.22,78.62,80.04,69.01,50.0,56.0,140.0,177.0,41.55,631,79.32,135688,5132
5359,Robbie Knops,BEL,29/11/1982,,16250.0,N/A,60.0,2.0,1489.0,98.95,200.0,94.93,79.32,14.0,34.34,55.28,158.0,84.87,85.1,78.9,79.76,60.66,50.0,15.0,52.0,68.0,39.31,632,79.32,56950,2154
44793,Shunpei Kuroda,JPN,,,115.0,N/A,61.0,N/A,1408.0,95.41,N/A,0.0,79.31,25.0,31.07,56.39,130.0,87.37,86.56,76.99,82.12,61.54,50.91,27.0,136.0,146.0,38.1,633,79.31,105805,4002
43511,Peter Wachiuri,KEN,,,0.0,N/A,59.0,N/A,1447.0,105.64,N/A,0.0,79.31,101.0,30.93,55.07,160.0,87.31,84.65,77.91,80.91,66.02,43.68,107.0,344.0,465.0,36.82,634,79.31,330430,12499
2785,Justin Bradshaw,ENG,,,1625.0,N/A,50.0,N/A,1440.0,84.98,N/A,0.0,79.25,8.0,35.29,48.84,167.0,84.24,83.14,78.86,79.64,60.98,37.78,8.0,39.0,53.0,44.68,635,79.25,39284,1487
2483,Brandon Walsh,ENG,,,6250.0,N/A,36.0,N/A,1465.0,98.17,N/A,0.0,79.24,9.0,28.81,44.03,120.0,86.97,86.64,77.15,81.43,53.95,34.94,11.0,87.0,107.0,32.86,636,79.24,73088,2767
166,Nico Blum,GER,13/12/2000,25,9750.0,N/A,48.0,N/A,1482.0,104.38,285.0,0.0,79.24,30.0,28.73,50.98,144.0,86.19,85.55,77.22,81.52,61.76,40.2,32.0,82.0,119.0,35.14,637,79.24,95750,3625
20137,Chris Hurds,ENG,,,1800.0,N/A,41.0,N/A,1455.0,95.54,N/A,0.0,79.24,42.0,31.91,44.78,154.0,84.44,82.87,79.31,79.17,56.63,33.14,48.0,139.0,197.0,38.21,638,79.24,153698,5819
